numberOfTrips,start_day,start_month,start_year,Community Areas,duration,distance
582,21,10,2018,29,1180,1.73813011630066
10,18,9,2018,59,559,1.61266884179017
3,4,12,2018,59,459,1.60996446669931
32,1,6,2018,14,881,2.33184927261077
24,1,2,2018,76,729,1.93836950563789
3,16,11,2018,32,29674,0.73154615978137
46,22,10,2018,35,1004,2.08516158838628
18,9,3,2018,9,613,1.09967240373479
3,28,6,2018,67,558,1.45093440217335
1,24,8,2018,27,240,0.727018176513969
2,5,1,2018,22,338,1.07253100936547
8,6,8,2018,56,1188,4.18802093883321
18,7,2,2018,46,791,2.53224482250593
14,22,6,2018,4,11084,1.7946903136913
189,17,2,2018,25,668,2.00858115856045
61,18,2,2018,31,626,1.72058599562648
43,15,5,2018,9,651,1.21330044715342
2613,30,5,2018,29,692,1.73704232690311
2,8,4,2018,21,570,1.3848823215658
191,26,2,2018,23,795,2.41701076037731
480,23,9,2018,23,1385,2.58112173020895
2,18,12,2018,56,2436,5.44483235281932
44,9,2,2018,68,697,1.8296515512008
783,24,10,2018,57,715,2.00434667298432
20,24,6,2018,32,1451,2.40438530509263
1,2,8,2018,15,477,1.46344062791727
8,13,11,2018,13,581,1.8324224525597
53,17,7,2018,58,1063,2.91801205440286
21,4,2,2018,34,629,1.52747357190337
40,1,8,2018,9,3651,2.25578614285048
110,16,11,2018,6,522,1.66191676881996
1,8,9,2018,13,1346,3.3196866725865
62,30,5,2018,35,973,1.93383299016647
40,11,9,2018,22,970,3.06454984711352
3,7,2,2018,20,818,2.3151672727551
3,16,1,2018,7,453,1.25524469224433
43,22,10,2018,9,652,1.20907992027005
62,16,8,2018,35,1302,2.26706488567564
1,8,1,2018,24,394,1.82100639269896
9,23,7,2018,28,2080,1.88301196993776
74,3,9,2018,33,1444,2.63198146253073
473,12,12,2018,25,912,2.15286748710203
37,17,5,2018,22,1513,4.3923344640976
1,1,11,2018,3,424,1.92040066503166
1,19,11,2018,67,598,1.93926978790397
3,9,5,2018,39,1185,1.16152843564096
5,11,4,2018,59,828,2.80972772079065
227,9,8,2018,1,1340,2.02101133543725
79,21,10,2018,6,940,2.15973416438716
16,4,2,2018,8,464,1.23627308862694
103,8,9,2018,10,1266,2.42453084261749
2,14,8,2018,42,915,1.13387894254593
9,22,3,2018,13,562,2.08177211233885
312,9,10,2018,31,1605,2.6947633461678
1,11,1,2018,59,603,2.10202193876622
2,21,3,2018,7,591,0.777843973535755
2,25,9,2018,42,1530,0.639935913309783
4,19,4,2018,13,741,2.57188733092078
2,29,5,2018,3,751,2.46326515300202
248,4,5,2018,8,1398,2.35827245616142
86,23,1,2018,34,683,1.95511410683625
2,30,10,2018,21,761,3.12359173846626
18,5,3,2018,58,845,2.9012039833002
148,1,11,2018,6,1046,1.65665867841795
2,4,7,2018,67,1056,3.12276500674469
8,15,2,2018,35,820,2.84639272066999
2692,1,6,2018,37,1988,2.00371923457263
299,10,10,2018,34,984,2.19522912636366
2,28,11,2018,59,659,2.30822239787706
17,10,6,2018,9,1342,3.02468702084855
1,24,5,2018,65,818,0.793177433024194
136,20,8,2018,76,1109,2.83472994610776
2,9,6,2018,3,9144,6.20670934282986
756,18,5,2018,25,3155,2.35099061891706
1072,16,10,2018,68,923,2.15885282883267
6,27,6,2018,67,2768,2.58565891899074
6,3,2,2018,5,1524,0.685833477943124
118,2,5,2018,76,2184,2.90353803961712
12,19,1,2018,16,616,2.15863290096704
1,10,5,2018,65,448,1.68119845746015
347,7,12,2018,68,678,2.05369103084561
6,12,7,2018,30,874,2.28613123040043
6,9,5,2018,59,1167,2.50503589973559
3,22,5,2018,40,376,1.19757772489165
43,10,11,2018,1,507,1.15637122293331
1448,2,10,2018,68,891,2.39092276753603
4,11,12,2018,22,470,1.01929979148256
53,13,11,2018,10,430,1.23175139624464
1,8,7,2018,15,1317,4.90709090414116
1111,25,9,2018,68,1018,2.32298335905742
62,4,12,2018,33,776,1.92859053006354
2905,29,5,2018,29,750,1.903167611925
4,12,9,2018,28,946,2.01057011867558
4,24,6,2018,26,1365,2.23921003704953
33,27,11,2018,33,782,1.81183763921848
80,25,4,2018,76,844,2.8228042904713
134,28,4,2018,8,1137,2.25695737176741
13,22,10,2018,32,573,1.58547211693281
1,9,5,2018,65,1328,4.87975330664757
38,23,7,2018,22,1110,2.93216776856408
4,3,9,2018,56,1291,2.9522262351446
41,22,2,2018,46,615,1.95405630685256
1,5,11,2018,21,323,1.06091460575449
37,7,10,2018,9,745,1.2565142037351
56,13,8,2018,16,1024,2.70507970151809
1,21,5,2018,40,547,1.63487695670034
10,27,8,2018,39,2592,2.48083240438158
86,21,6,2018,1,599,1.39888684666251
2,29,10,2018,21,2252,8.45742178352068
15,23,9,2018,20,23291,1.45744660263856
90,1,8,2018,35,1153,1.97846639995124
299,20,1,2018,25,912,2.20133587492472
5,22,3,2018,7,645,2.50342608013576
206,15,5,2018,6,644,1.80348216391523
9,28,1,2018,14,514,1.67348627820807
8,9,3,2018,32,743,2.00713784817961
6,23,4,2018,28,1221,4.47523184238996
12,10,8,2018,7,1403,2.09968784143995
5,21,10,2018,32,1131,1.75385197457074
3,17,12,2018,7,294,1.22410083532234
381,3,10,2018,8,14984,1.53690902207649
3,17,1,2018,56,796,2.36154898380395
11,1,5,2018,30,1053,2.12740451294709
247,29,1,2018,57,510,1.6231233055863
52,9,2,2018,25,591,1.50107269561787
4,28,5,2018,66,1450,2.08744602413544
2,26,3,2018,24,549,1.82218906445822
1,16,3,2018,3,816,2.79202638756408
194,12,1,2018,25,617,2.01829922548073
2,30,11,2018,28,2255,2.05186097272552
29,27,9,2018,14,692,1.95590795512094
12,8,11,2018,32,886,2.80311189034353
176,16,10,2018,31,766,2.2083441267199
589,6,9,2018,25,756,2.17225017541954
22,4,1,2018,33,695,1.87173978515792
38,23,5,2018,9,911,1.37590790411013
5,6,12,2018,22,531,1.85251061138793
17,21,7,2018,59,1121,1.63785911169314
6,7,8,2018,13,662,2.16736619355538
218,4,7,2018,1,1831,2.6666797936806
3,20,11,2018,7,524,1.40127600024829
126,15,6,2018,10,1367,2.01510107267099
333,30,8,2018,31,1197,2.47230985234339
4,26,6,2018,21,1333,4.14046795870537
10,25,7,2018,7,1866,1.03083031051568
721,13,10,2018,29,3092,1.7642471354274
19,29,9,2018,20,1162,2.98856952036786
4,2,4,2018,24,546,1.54717479250669
69,7,11,2018,10,435,1.33362555721775
24,22,8,2018,39,1571,0.922565443487052
38,15,8,2018,5,1292,2.73126569484702
57,9,7,2018,58,1222,2.84578941118837
315,21,12,2018,25,671,2.04353124967577
91,16,6,2018,0,2884,2.44381017403137
78,11,10,2018,0,796,2.04386134051642
37,15,10,2018,35,639,1.6158437697772
26,9,5,2018,22,884,2.82375543505069
129,14,4,2018,25,620,1.81700319753524
26,19,9,2018,22,910,2.72793745207919
31,14,1,2018,31,502,1.42076441426666
5,29,12,2018,14,414,1.31835998321195
1,28,10,2018,32,1228,0.594088502675811
4,15,3,2018,13,431,1.56684182161671
1,22,11,2018,13,2166,6.19139599018703
82,8,8,2018,35,927,1.88452330749436
59,22,3,2018,76,653,2.09217891843117
69,10,6,2018,46,1050,2.79900311567947
7,19,4,2018,59,1347,1.93720751219577
2050,5,10,2018,37,1495,2.08610142628062
84,20,8,2018,10,809,2.26575317360748
418,10,11,2018,38,1328,1.51066066891836
985,18,5,2018,68,1049,2.54387759128034
22,27,7,2018,39,1551,1.97353120938131
5,16,5,2018,56,1002,3.44359518133916
5,27,12,2018,5,594,1.64704299103606
3,30,3,2018,39,1358,1.28831287996642
5,7,3,2018,24,697,2.0497550157872
117,13,10,2018,6,752,1.98173473964146
10,10,7,2018,7,528,1.32364599138245
22,30,6,2018,39,2988,1.15963697337626
6,10,8,2018,67,1035,2.27460028911451
1,14,4,2018,28,693,2.35038078546929
15,23,2,2018,35,1097,2.29177035567732
40,24,5,2018,22,1498,3.95085716619476
132,6,7,2018,33,1105,2.5134450638437
3,13,3,2018,7,515,1.94956783880932
133,25,7,2018,10,1326,2.49762930081544
537,26,5,2018,31,2617,3.19544350010571
7,4,7,2018,24,1092,2.20829797355937
289,12,8,2018,76,2035,3.94775088192601
269,25,9,2018,8,799,1.56542219849257
343,18,10,2018,34,1088,2.18345418779683
4,17,12,2018,13,1035,4.214485282087
10,17,9,2018,13,8633,2.76056769372963
116,5,8,2018,10,1638,2.6034774014838
8,16,5,2018,59,1240,3.44943974516826
353,21,1,2018,68,762,1.89554012147524
3,7,6,2018,21,3649,6.67259919707278
62,10,4,2018,10,506,1.63207542393122
3,9,2,2018,5,367,0.784101998698484
26,18,6,2018,9,836,1.77203876700693
4,1,2,2018,39,469,1.41254316476703
3,22,8,2018,42,539,0.768176445431621
189,6,9,2018,31,975,2.19636822830434
12,31,12,2018,46,723,2.3788659234362
41,18,11,2018,1,826,1.67770579147725
3,25,1,2018,39,1086,1.48598337000372
1,25,11,2018,67,408,1.49901027402739
14,19,12,2018,22,815,2.23240969494337
15,6,9,2018,5,1088,2.45485675191802
6,12,7,2018,13,819,2.07634014842008
1,20,10,2018,66,466,1.43912639601014
9,13,10,2018,32,9296,1.64739747982205
112,11,5,2018,31,724,2.09833728062745
312,11,10,2018,23,849,2.63556249693433
456,3,10,2018,34,1377,2.11775202361124
10,14,12,2018,14,703,2.27136147660052
1,21,2,2018,3,1058,2.63374197691447
24,4,12,2018,16,602,1.34729543937008
228,23,5,2018,6,996,1.97318570085504
147,14,1,2018,57,495,1.53044381751416
99,1,5,2018,10,1397,2.6008394395547
65,20,6,2018,35,908,2.07099047991423
12,26,3,2018,4,2551,3.2227265562328
148,6,1,2018,68,615,1.73022709787555
2,28,3,2018,30,295,1.11264327873456
59,20,11,2018,10,457,1.30844527189672
23,24,10,2018,14,625,1.97478953613132
113,20,8,2018,33,1070,2.57056813231359
27,14,7,2018,22,977,3.1967697625396
12,28,6,2018,7,734,1.30605320001194
24,21,7,2018,56,2745,1.35752170258789
111,11,2,2018,37,1148,1.25796023054285
3,24,2,2018,28,1747,3.16863296902258
11,18,8,2018,7,1739,2.24122269749234
71,30,6,2018,33,1394,2.81342228176419
21,3,3,2018,9,1169,1.33720685226192
38,4,9,2018,22,849,2.68162434438888
1,23,9,2018,40,234,0.839465942905055
25,19,7,2018,4,1903,1.86203419068619
137,12,7,2018,10,1258,2.24451146909587
32,2,6,2018,20,965,2.48262347938495
1,11,9,2018,65,1083,2.00379747906692
3495,31,7,2018,37,1119,2.02904146190009
2,15,5,2018,26,2596,6.20512348060321
157,25,2,2018,34,1132,2.06846713910973
4,25,10,2018,3,834,3.09702256013388
16,13,8,2018,59,895,2.90963994528513
2304,29,10,2018,38,1017,1.79601548290587
24,4,1,2018,76,393,1.1331770543662
2254,1,11,2018,29,661,1.66117445853698
9,20,11,2018,24,1062,3.48951234215779
72,21,10,2018,46,974,2.76846686796051
5,8,4,2018,4,1397,0.784308139211155
10,22,5,2018,20,573,1.47781268575684
10,5,7,2018,7,1973,2.61166786018325
8,12,4,2018,39,1198,1.2308108401793
2,7,3,2018,30,906,3.505093015399
2,13,11,2018,30,389,1.11264327873456
27,27,11,2018,76,2447,1.42178465701886
5,8,1,2018,7,797,1.68177429828585
47,4,12,2018,10,481,1.40537989462158
7,26,12,2018,22,992,2.54094059573753
403,25,5,2018,31,1515,2.86523095624592
2,3,2,2018,28,1149,4.38991440399194
2,27,1,2018,28,881,3.26217861586769
3337,6,6,2018,38,1156,2.01143577422202
196,11,5,2018,8,806,1.82492188324023
29,14,8,2018,22,1535,4.54178525596407
1171,1,6,2018,57,1071,2.45774913072799
43,12,9,2018,5,1143,2.24059489811668
82,14,3,2018,33,674,2.14851016610233
213,12,1,2018,68,636,2.10933658343536
39,19,9,2018,5,1081,2.76532948059311
138,23,9,2018,46,914,2.49472816230607
86,22,5,2018,46,937,2.60383118241884
69,20,6,2018,58,812,2.28637017698435
1,11,2,2018,14,480,1.57826423926079
81,11,4,2018,76,979,2.46992806282843
372,23,12,2018,37,959,1.38746110357785
2,12,11,2018,67,584,1.71914003096568
20,7,10,2018,32,5233,0.713730761371757
6,5,8,2018,67,5145,2.8619254261133
11,26,7,2018,56,2893,3.59588886143468
7,29,6,2018,13,815,1.35832329205462
3,6,11,2018,27,1573,4.17856817444147
10,17,5,2018,39,813,0.961596041493332
5,21,6,2018,24,990,2.96602066407413
2,18,2,2018,14,718,2.37490087894227
242,7,6,2018,1,1024,2.07770491772528
2,30,9,2018,66,741,2.24931547621912
56,13,1,2018,8,424,0.95159580839355
5,5,4,2018,13,985,3.48564027442343
27,14,10,2018,58,912,2.10584106308379
1085,2,10,2018,25,831,2.26293310241603
358,24,3,2018,38,1227,1.62877662621788
5,2,5,2018,59,818,3.27379592182158
2,29,10,2018,15,970,2.7313614812756
199,18,5,2018,8,915,1.35548394974592
40,31,1,2018,46,572,1.80402898749773
28,17,10,2018,14,3573,1.63026466954304
121,6,8,2018,33,1064,2.75864563334
5,7,3,2018,7,666,2.0591071247015
14,24,8,2018,4,1315,2.95919504628418
4,11,12,2018,39,185943,0.577753201094854
5,6,11,2018,30,733,1.97572641750963
19,26,7,2018,30,53515,2.28761332801985
65,26,2,2018,0,890,2.15042758249479
8,19,7,2018,30,926,2.64627787510862
332,1,11,2018,23,879,2.29746103337513
2,4,7,2018,41,1868,1.61037268441983
20,27,1,2018,5,1216,3.13735248088921
146,16,5,2018,76,1400,3.45682347719732
2,14,6,2018,27,1508,2.4377500721211
61,18,12,2018,33,924,2.38970804192429
177,31,12,2018,29,568,1.60356600204795
43,24,6,2018,9,17305,2.21692616063573
1,18,7,2018,41,22354,0
2,7,10,2018,26,1389,0.890374499836442
22,28,6,2018,24,1261,2.90786536514213
3,14,3,2018,56,1105,3.81264037504668
11,28,8,2018,22,1361,3.03333679553082
1,20,11,2018,27,1495,7.02741244171107
5,23,12,2018,14,921,2.5849342841496
136,29,5,2018,46,1272,2.42569723852809
2,26,4,2018,59,15250,5.10193904684627
19,12,12,2018,5,648,2.02715518327879
381,21,5,2018,57,715,1.86540689815783
16,19,9,2018,28,1352,2.9524384630792
1,2,3,2018,26,2581,11.8740655583605
8,28,11,2018,16,512,1.54442785334997
66,8,8,2018,58,1579,2.31209586335471
597,27,4,2018,25,787,2.22921598755533
